startTime,generation
2024-01-14 05:00:00+00:00,5288
2024-01-14 05:30:00+00:00,5487
2024-01-14 06:00:00+00:00,5862
2024-01-14 06:30:00+00:00,6248
2024-01-14 07:00:00+00:00,6461
2024-01-14 07:30:00+00:00,6759
2024-01-14 08:00:00+00:00,7130
2024-01-14 08:30:00+00:00,8172
2024-01-14 09:00:00+00:00,8614
2024-01-14 09:30:00+00:00,9045
2024-01-14 10:00:00+00:00,9487
2024-01-14 10:30:00+00:00,9699
2024-01-14 11:00:00+00:00,9952
2024-01-14 11:30:00+00:00,10278
2024-01-14 12:00:00+00:00,10051
2024-01-14 12:30:00+00:00,10150
2024-01-14 13:00:00+00:00,10400
2024-01-14 13:30:00+00:00,10769
2024-01-14 14:00:00+00:00,11368
2024-01-14 14:30:00+00:00,11902
2024-01-14 15:00:00+00:00,12175
2024-01-14 15:30:00+00:00,12372
2024-01-14 16:00:00+00:00,12559
2024-01-14 16:30:00+00:00,12247
2024-01-14 17:00:00+00:00,12347
2024-01-14 17:30:00+00:00,12505
2024-01-14 18:00:00+00:00,12424
2024-01-14 18:30:00+00:00,12316
2024-01-14 19:00:00+00:00,12364
2024-01-14 19:30:00+00:00,12398
2024-01-14 20:00:00+00:00,12757
2024-01-14 20:30:00+00:00,12721
2024-01-14 21:00:00+00:00,13213
2024-01-14 21:30:00+00:00,13730
2024-01-14 22:00:00+00:00,13731
2024-01-14 22:30:00+00:00,13557
2024-01-14 23:00:00+00:00,13352
2024-01-14 23:30:00+00:00,13539
2024-01-15 00:00:00+00:00,13826
2024-01-15 00:30:00+00:00,13991
2024-01-15 01:00:00+00:00,14343
2024-01-15 01:30:00+00:00,14482
2024-01-15 02:00:00+00:00,14431
2024-01-15 02:30:00+00:00,14426
2024-01-15 03:00:00+00:00,14534
2024-01-15 03:30:00+00:00,14706
2024-01-15 04:00:00+00:00,14840
2024-01-15 04:30:00+00:00,14933
2024-01-15 05:00:00+00:00,15001
2024-01-15 05:30:00+00:00,15070
2024-01-15 06:00:00+00:00,15022
2024-01-15 06:30:00+00:00,14830
2024-01-15 07:00:00+00:00,14963
2024-01-15 07:30:00+00:00,14855
2024-01-15 08:00:00+00:00,14492
2024-01-15 08:30:00+00:00,14264
2024-01-15 09:00:00+00:00,14233
2024-01-15 09:30:00+00:00,14149
